prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10525,Gloria Duchin,GL2294SJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10526,Gloria Duchin,GL2353PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10527,Gloria Duchin,GL2235PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10528,Gloria Duchin,GL1469PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10529,Gloria Duchin,GL2102PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10530,Gloria Duchin,GL2234PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10531,Gloria Duchin,GL1481PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10532,Gloria Duchin,GL2236PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10533,Gloria Duchin,GL2286PB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10534,Gloria Duchin,GL2256SB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10535,Gloria Duchin,GL2287SB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10536,Gloria Duchin,GL2364SB,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
